rating,director,release_year,listed_in,title,country,duration,type,Cluster
8,369,0.17647058823529416,39,6264,29,21,0,0
6,3380,0.411764705882353,198,6269,29,9,0,0
6,2881,0.411764705882353,199,7073,29,55,0,0
11,3066,0.8823529411764707,86,5499,52,138,1,3
8,3066,0.9411764705882354,377,8433,52,0,1,1
10,3066,0.9411764705882354,421,810,52,110,1,3
11,3066,0.9411764705882354,432,614,52,110,1,3
10,3066,0.9411764705882354,421,1304,52,0,1,1
7,3066,0.9411764705882354,384,5382,52,0,1,1
8,306,0.9411764705882354,321,5758,80,215,0,2
6,3066,0.9411764705882354,378,4849,52,0,1,1
8,3066,0.9411764705882354,290,5857,52,0,1,1
11,3066,0.8823529411764707,421,1469,52,0,1,1
11,3066,0.823529411764706,422,5606,52,0,1,1
8,3066,0.8823529411764707,471,7056,52,110,1,3
10,3066,0.7058823529411765,423,6447,52,110,1,3
6,3066,0.8823529411764707,392,6969,52,0,1,1
10,3066,0.8823529411764707,120,1543,52,145,0,2
6,3066,0.0,391,8493,52,0,1,1
8,3066,0.8823529411764707,233,2924,52,0,1,1
8,3066,0.8823529411764707,243,6366,52,0,1,1
6,3066,0.8823529411764707,243,8183,52,0,1,1
10,3066,0.8823529411764707,421,1538,52,0,1,1
10,3066,0.8823529411764707,120,1540,52,159,0,2
5,2524,1.0,52,5972,51,31,0,0
6,2070,1.0,273,1121,51,213,0,2
8,2730,1.0,234,3605,51,0,1,1
5,3594,0.5882352941176472,0,7532,80,11,0,0
8,796,0.9411764705882354,344,7543,80,210,0,2
3,1009,1.0,137,7851,80,212,0,2
8,3639,1.0,288,7662,51,204,0,2
8,2639,1.0,287,1686,79,200,0,2
9,864,1.0,286,8292,51,186,0,2
8,1516,1.0,1,7877,51,202,0,2
6,2174,0.823529411764706,331,2862,51,216,0,2
8,2920,0.9411764705882354,325,8282,49,217,0,2
10,3066,0.8823529411764707,120,1541,52,170,0,2
5,596,1.0,36,6667,80,15,0,0
10,3066,0.8823529411764707,120,1542,52,176,0,2
11,3066,0.823529411764706,86,957,52,0,1,1
10,3066,0.8823529411764707,421,6619,52,138,1,3
10,3066,0.8823529411764707,120,4092,52,172,0,2
8,3066,0.8823529411764707,97,8055,52,0,1,1
10,3066,0.7058823529411765,421,4156,52,0,1,1
6,3066,0.8823529411764707,77,2875,52,110,1,3
8,3066,0.8823529411764707,384,2325,52,0,1,1
6,3066,0.8823529411764707,407,5306,52,0,1,1
8,4470,1.0,328,4363,51,20,0,0
6,3431,1.0,352,1157,51,29,0,0
6,3431,1.0,352,1158,51,29,0,0
6,3431,1.0,352,1159,51,29,0,0
6,3431,1.0,352,1160,51,29,0,0
4,1115,0.411764705882353,321,4074,80,211,0,2
6,2554,0.0,328,1140,29,44,0,0
9,3135,0.823529411764706,199,5330,29,200,0,2
6,2554,0.6470588235294118,328,5113,29,42,0,0
6,627,1.0,219,7691,6,217,0,2
5,3997,0.5882352941176472,210,8409,80,214,0,2
8,2363,1.0,286,8294,80,194,0,2
10,3066,0.8823529411764707,421,8155,52,0,1,1
5,1747,0.0,174,7586,48,28,0,0
9,2743,1.0,283,4071,18,213,0,2
8,3066,0.8823529411764707,415,3689,52,110,1,3
8,3066,0.8823529411764707,240,2201,52,110,1,3
8,3066,0.8823529411764707,234,3793,52,0,1,1
6,3066,0.8823529411764707,393,3270,52,0,1,1
9,3066,0.6470588235294118,411,695,52,0,1,1
9,3066,0.7058823529411765,408,985,52,0,1,1
6,3066,0.7058823529411765,393,1552,52,0,1,1
11,954,1.0,130,7430,51,206,0,2
9,4323,0.9411764705882354,328,173,51,5,0,0
8,2847,1.0,374,1050,51,8,0,0
8,2793,1.0,280,4506,51,204,0,2
8,197,0.9411764705882354,199,5286,51,212,0,2
6,4262,0.9411764705882354,325,5055,51,50,0,0
9,3066,0.6470588235294118,393,1553,52,0,1,1
8,1279,1.0,0,876,34,15,0,0
6,3066,0.6470588235294118,393,1554,52,0,1,1
9,3066,0.7058823529411765,411,1555,52,0,1,1
8,2083,1.0,243,2775,20,0,1,1
6,3066,0.6470588235294118,392,6135,52,0,1,1
